Date,Open,High,Low,Close,Adj Close,Volume
2022-03-31,99.279999,100.910004,99.000000,99.070000,94.230278,5505600
2022-04-01,99.760002,100.449997,98.980003,100.169998,95.276543,3608600
2022-04-04,100.120003,100.400002,98.559998,99.300003,94.449043,3812300
2022-04-05,99.480003,100.510002,98.610001,98.809998,93.982979,4217100
2022-04-06,98.320000,99.279999,98.129997,98.459999,93.650070,5260800
2022-04-07,98.250000,101.269997,97.900002,100.980003,96.046982,6151500
2022-04-08,101.980003,102.739998,100.070000,100.400002,95.495308,4811400
2022-04-11,100.639999,102.949997,100.639999,102.110001,97.121758,5707600
2022-04-12,102.180000,103.980003,102.070000,102.599998,97.587822,4839200
2022-04-13,103.320000,104.449997,102.639999,103.370003,98.320206,5351900
2022-04-14,103.889999,104.980003,103.669998,104.269997,99.176247,4027400
2022-04-18,104.260002,105.459999,103.910004,104.300003,99.204781,3873300
2022-04-19,104.440002,105.660004,104.160004,104.550003,99.442581,4572800
2022-04-20,105.680000,106.019997,104.279999,104.970001,99.842056,4232200
2022-04-21,105.849998,106.019997,101.400002,101.730003,96.760338,5795300
2022-04-22,101.449997,102.559998,100.370003,100.489998,95.580902,4683300
2022-04-25,99.849998,99.919998,97.570000,99.610001,94.743896,5612500
2022-04-26,96.900002,100.949997,96.779999,99.190002,94.344406,7199200
2022-04-27,99.220001,99.910004,97.599998,98.839996,94.011513,6632100
2022-04-28,99.000000,99.260002,96.900002,98.080002,93.288635,6544200
2022-04-29,98.470001,98.889999,94.610001,94.910004,90.273506,5883000
2022-05-02,94.510002,95.330002,92.400002,94.220001,89.617210,7870600
2022-05-03,95.180000,96.129997,94.320000,95.400002,90.739571,5612200
2022-05-04,94.989998,98.019997,94.949997,97.760002,92.984268,6160800
2022-05-05,97.800003,98.199997,95.410004,96.320000,91.614616,5906500
2022-05-06,95.709999,96.050003,93.720001,95.300003,90.644455,5295000
2022-05-09,94.529999,94.790001,91.250000,91.750000,87.267868,6071900
2022-05-10,92.440002,93.860001,91.360001,91.690002,87.210800,7526300
2022-05-11,91.269997,94.129997,90.809998,91.000000,86.554504,6493900
2022-05-12,90.849998,92.470001,89.940002,91.480003,87.011063,6356200
2022-05-13,92.050003,92.610001,91.089996,91.919998,87.429565,5465600
2022-05-16,91.849998,93.540001,91.809998,92.480003,87.962219,5158500
2022-05-17,94.330002,95.139999,93.500000,94.949997,90.311531,4447200
2022-05-18,94.330002,95.199997,92.279999,92.610001,88.085869,5843100
2022-05-19,91.379997,92.459999,89.540001,90.250000,86.353989,5234700
2022-05-20,90.839996,91.169998,88.430000,90.080002,86.191338,6585500
2022-05-23,90.599998,92.019997,90.000000,91.830002,87.865784,4701300
2022-05-24,91.199997,93.419998,90.470001,93.209999,89.186218,5932000
