Date,Open,High,Low,Close,Adj Close,Volume
2022-03-17,427.059998,431.779999,424.799988,428.589996,406.416840,2947700
2022-03-18,434.670013,437.489990,421.700012,426.179993,404.131531,5215700
2022-03-21,431.630005,447.929993,431.630005,440.000000,417.236572,3245200
2022-03-22,439.450012,443.839996,434.190002,440.589996,417.795990,2113800
2022-03-23,444.000000,447.500000,442.350006,445.250000,422.214935,1715100
2022-03-24,445.299988,451.500000,443.230011,449.730011,426.463196,1375400
2022-03-25,450.029999,457.529999,450.000000,453.660004,430.189880,1646300
2022-03-28,449.320007,450.459991,443.309998,444.980011,421.958923,1676200
2022-03-29,433.250000,438.119995,429.320007,437.149994,414.534027,2451100
2022-03-30,439.320007,447.059998,439.309998,445.950012,422.878723,1719500
2022-03-31,441.959991,448.869995,441.000000,441.399994,418.564117,1660700
2022-04-01,442.220001,448.989990,438.820007,445.980011,422.907196,1174200
2022-04-04,447.480011,448.000000,439.549988,444.010010,421.039124,1166300
2022-04-05,445.000000,454.809998,443.380005,447.239990,424.101929,2240200
2022-04-06,446.380005,457.559998,446.380005,454.579987,431.062225,1941400
2022-04-07,453.000000,467.399994,450.790009,465.510010,441.426819,2032700
2022-04-08,467.720001,471.589996,459.609985,461.519989,437.643188,1710700
2022-04-11,463.790009,474.450012,462.190002,464.250000,440.231934,1911200
2022-04-12,466.200012,471.739990,461.380005,467.549988,443.361267,1502300
2022-04-13,471.000000,474.609985,466.250000,469.190002,444.916412,1212400
2022-04-14,471.910004,473.730011,466.040009,467.660004,443.465576,1965200
2022-04-18,467.000000,471.970001,459.109985,467.440002,443.256927,1638900
2022-04-19,462.489990,475.500000,458.429993,459.899994,436.106995,2044000
2022-04-20,459.880005,461.359985,452.779999,453.869995,430.389008,1636200
2022-04-21,455.000000,455.950012,438.850006,439.540009,416.800323,1937600
2022-04-22,440.890015,450.899994,438.390015,445.790009,422.726990,1451700
2022-04-25,443.000000,444.820007,433.269989,442.890015,419.977081,1499800
2022-04-26,447.040009,452.320007,443.179993,446.089996,423.011505,1440400
2022-04-27,446.230011,452.000000,439.269989,444.980011,421.958923,1017500
2022-04-28,449.000000,449.000000,437.519989,441.709991,418.858124,1348800
2022-04-29,444.429993,445.010010,430.380005,432.119995,409.764221,1479500
2022-05-02,429.600006,437.489990,426.149994,430.809998,408.522034,1397100
2022-05-03,434.380005,437.600006,430.959991,434.769989,412.277100,1332000
2022-05-04,437.029999,445.989990,434.890015,445.739990,422.679596,1172600
2022-05-05,445.739990,447.470001,438.609985,443.149994,420.223572,1183800
2022-05-06,441.529999,449.579987,439.910004,449.429993,426.178711,1409800
2022-05-09,447.029999,448.779999,437.119995,438.839996,416.136505,1354500
2022-05-10,439.940002,446.500000,437.500000,439.130005,416.411591,978500
2022-05-11,437.500000,444.989990,436.619995,440.410004,417.625366,1018200
2022-05-12,439.260010,441.320007,428.350006,434.589996,412.106415,1390200
2022-05-13,435.359985,437.709991,429.000000,435.170013,412.656433,1114700
2022-05-16,435.000000,440.369995,432.160004,437.549988,414.913330,1004700
2022-05-17,439.809998,442.220001,431.260010,441.000000,418.184814,798100
2022-05-18,441.000000,442.070007,433.100006,434.329987,411.859894,986900
2022-05-19,430.850006,432.989990,419.290009,425.619995,403.600525,1539800
2022-05-20,428.000000,428.000000,417.290009,424.149994,402.206573,1632500
2022-05-23,427.440002,435.649994,427.440002,433.029999,410.627136,1038200
2022-05-24,433.000000,443.309998,433.000000,442.779999,419.872772,1034100
2022-05-25,443.480011,448.630005,441.299988,447.540009,424.386475,1032200
2022-05-26,450.000000,454.059998,447.769989,447.989990,424.813202,1143100
2022-05-27,451.140015,451.470001,444.459991,450.559998,427.250214,1265800
2022-05-31,443.000000,445.000000,438.410004,440.109985,419.950623,2539100
2022-06-01,443.029999,443.850006,436.489990,439.299988,419.177795,1199000
2022-06-02,441.760010,442.540009,430.440002,441.109985,420.904816,1210000
2022-06-03,440.000000,446.579987,439.160004,442.690002,422.412476,928000
2022-06-06,443.820007,446.000000,441.559998,443.410004,423.099548,690000
2022-06-07,442.000000,456.670013,441.399994,456.299988,435.399048,1126000
2022-06-08,452.000000,454.640015,442.910004,443.410004,423.099548,1151600
2022-06-09,443.420013,443.549988,432.500000,432.720001,412.899109,995100
2022-06-10,431.000000,434.350006,425.750000,430.190002,410.485046,1165700
2022-06-13,424.399994,428.359985,421.519989,423.929993,404.511780,1483000
2022-06-14,424.010010,424.160004,411.109985,416.170013,397.107208,1497800
2022-06-15,417.559998,419.000000,408.869995,414.100006,395.132080,1241700
2022-06-16,410.429993,412.890015,403.019989,404.790009,386.248535,1580300
2022-06-17,403.570007,405.399994,394.660004,404.010010,385.504211,3757100
2022-06-21,412.000000,420.500000,409.010010,418.959991,399.769409,1474400
2022-06-22,414.059998,420.420013,411.790009,415.450012,396.420197,1073300
2022-06-23,415.369995,416.269989,407.179993,410.619995,391.811432,988700
2022-06-24,415.839996,419.480011,410.679993,419.040009,399.845764,1768000
2022-06-27,419.040009,423.190002,417.470001,419.250000,400.046173,779000
2022-06-28,423.000000,427.559998,419.350006,420.709991,401.439240,953300
2022-06-29,423.059998,424.410004,416.429993,418.890015,399.702606,733800
2022-06-30,418.160004,430.320007,416.880005,429.959991,410.265564,1269500
2022-07-01,429.739990,434.959991,424.480011,433.519989,413.662506,1296900
2022-07-05,424.790009,425.769989,407.209991,415.250000,396.229370,1712800
2022-07-06,416.899994,427.859985,415.279999,425.890015,406.382019,1044900
2022-07-07,424.480011,428.000000,419.549988,422.190002,402.851471,1177100
2022-07-08,425.540009,426.970001,419.970001,420.350006,401.095795,682000
2022-07-11,417.899994,423.000000,415.380005,419.070007,399.874390,602600
2022-07-12,419.470001,419.890015,412.600006,413.989990,395.027100,680500
2022-07-13,409.109985,417.769989,407.730011,408.000000,389.311462,1155500
2022-07-14,403.190002,405.369995,397.519989,400.309998,381.973724,1160700
2022-07-15,403.709991,403.709991,397.809998,398.380005,380.132080,1223200
2022-07-18,399.970001,400.000000,387.029999,387.279999,369.540527,2759700
2022-07-19,378.820007,390.570007,373.670013,390.380005,372.498566,3023800
2022-07-20,390.660004,397.480011,385.670013,395.220001,377.116882,1560300
2022-07-21,394.320007,395.549988,389.640015,395.200012,377.097778,941000
2022-07-22,399.950012,401.970001,393.459991,394.739990,376.658813,769400
2022-07-25,394.369995,403.730011,393.630005,399.799988,381.487061,1038300
2022-07-26,400.179993,402.980011,396.570007,396.809998,378.634033,992400
2022-07-27,397.790009,399.250000,394.000000,398.540009,380.284790,838600
2022-07-28,399.149994,406.769989,396.140015,406.079987,387.479370,1014600
2022-07-29,406.489990,414.149994,402.000000,413.809998,394.855286,1493500
2022-08-01,418.239990,428.500000,416.640015,419.279999,400.074799,1721900
2022-08-02,425.010010,432.839996,419.100006,428.779999,409.139618,2453900
2022-08-03,427.269989,431.760010,419.640015,429.299988,409.635773,1330500
2022-08-04,430.709991,434.649994,426.890015,428.130005,408.519409,1126400
2022-08-05,425.260010,427.839996,419.529999,426.410004,406.878143,932500
2022-08-08,427.500000,429.369995,421.679993,423.859985,404.444977,814800
2022-08-09,426.950012,431.880005,425.700012,428.549988,408.920166,747400
2022-08-10,430.070007,432.250000,426.339996,429.989990,410.294220,1409300
2022-08-11,429.239990,432.489990,427.200012,428.850006,409.206421,949300
2022-08-12,428.899994,434.290009,427.190002,434.239990,414.349548,978000
2022-08-15,432.679993,439.970001,429.859985,438.010010,417.946808,884900
2022-08-16,436.920013,445.000000,436.920013,440.160004,419.998352,851100
2022-08-17,436.130005,445.489990,435.000000,441.589996,421.362885,996500
2022-08-18,441.910004,444.579987,436.869995,439.350006,419.225525,866500
2022-08-19,438.480011,440.920013,436.040009,440.029999,419.874268,1013600
2022-08-22,438.510010,441.640015,431.839996,432.329987,412.526978,1086700
2022-08-23,432.929993,434.730011,430.299988,433.119995,413.280853,915200
2022-08-24,433.989990,435.450012,430.940002,433.709991,413.843781,740200
2022-08-25,433.709991,438.839996,432.429993,438.640015,418.547974,727600
2022-08-26,440.399994,442.779999,430.940002,431.130005,411.381958,876200
2022-08-29,427.660004,433.899994,426.480011,429.679993,409.998413,868100
2022-08-30,429.440002,430.369995,424.010010,425.109985,405.637695,976100
2022-08-31,422.359985,424.739990,420.019989,420.109985,403.524567,909300
2022-09-01,418.239990,423.579987,417.799988,422.609985,405.925842,948800
2022-09-02,424.989990,425.690002,417.549988,418.570007,402.045410,869800
2022-09-06,419.010010,423.269989,415.779999,417.779999,401.286591,962500
2022-09-07,415.350006,420.899994,412.260010,420.140015,403.553436,1255700
2022-09-08,419.570007,421.070007,414.769989,419.649994,403.082764,1112600
2022-09-09,420.690002,423.619995,419.019989,421.529999,404.888550,1284600
2022-09-12,421.000000,421.489990,417.500000,418.640015,402.112610,1349700
2022-09-13,417.320007,420.799988,407.359985,409.329987,393.170135,1621200
2022-09-14,410.190002,418.399994,408.299988,416.630005,400.181976,1004100
2022-09-15,414.829987,414.829987,410.730011,413.589996,397.261932,1189200
2022-09-16,411.250000,415.769989,410.010010,414.290009,397.934357,2023300
2022-09-19,414.000000,417.640015,412.730011,416.519989,400.076263,695500
2022-09-20,416.000000,421.410004,412.339996,420.579987,403.976044,1112100
2022-09-21,427.989990,433.790009,420.029999,420.200012,403.611053,2106400
2022-09-22,419.829987,424.720001,413.000000,422.079987,405.416779,1409900
2022-09-23,419.779999,420.010010,407.579987,413.070007,396.762543,1874600
2022-09-26,411.690002,412.209991,406.510010,407.649994,391.556488,1208300
