Date,Open,High,Low,Close,Adj Close,Volume
2022-03-21,435.239990,448.269989,432.109985,446.600006,433.009918,1293500
2022-03-22,447.109985,448.000000,438.540009,446.299988,432.719025,741300
2022-03-23,448.000000,452.000000,442.519989,446.920013,433.320160,587100
2022-03-24,446.989990,455.140015,446.079987,454.570007,440.737366,665100
2022-03-25,453.359985,460.429993,453.359985,458.179993,444.237488,480000
2022-03-28,453.859985,455.799988,444.600006,446.799988,433.203766,661200
2022-03-29,434.690002,450.609985,431.380005,446.309998,432.728729,893800
2022-03-30,449.489990,456.489990,448.489990,453.329987,439.535095,624000
2022-03-31,449.970001,457.929993,446.700012,447.220001,433.610992,648000
2022-04-01,446.579987,454.859985,444.059998,454.790009,440.950684,699200
2022-04-04,455.429993,456.549988,444.369995,452.290009,438.526733,713300
2022-04-05,450.489990,463.500000,450.489990,454.010010,440.194427,576200
2022-04-06,455.000000,466.420013,454.880005,461.459991,447.417633,806400
2022-04-07,460.000000,472.640015,459.029999,470.769989,456.444427,761600
2022-04-08,472.760010,477.260010,459.350006,463.660004,449.550720,909500
2022-04-11,466.380005,470.950012,461.700012,462.140015,448.077026,869000
2022-04-12,463.309998,466.679993,459.320007,463.279999,449.182343,632600
2022-04-13,468.000000,470.059998,460.329987,464.519989,450.384583,563000
2022-04-14,468.480011,470.250000,463.339996,467.200012,452.983032,1120300
2022-04-18,467.200012,473.369995,462.079987,465.579987,451.412354,569300
2022-04-19,465.700012,473.850006,463.480011,464.410004,450.277954,542500
2022-04-20,465.910004,469.130005,462.480011,463.399994,449.298676,603500
2022-04-21,464.649994,465.529999,443.029999,443.450012,429.955780,947900
2022-04-22,443.739990,456.660004,443.670013,447.399994,433.785583,727000
2022-04-25,443.989990,445.000000,434.149994,444.019989,430.508392,608200
2022-04-26,444.679993,452.480011,440.410004,442.510010,429.044373,614300
2022-04-27,444.179993,450.690002,439.769989,439.769989,426.387726,838400
2022-04-28,437.000000,449.779999,432.390015,445.170013,431.623444,1112400
2022-04-29,447.609985,449.339996,438.029999,439.399994,426.028992,945600
2022-05-02,437.119995,444.630005,431.920013,438.619995,425.272705,759900
2022-05-03,444.450012,453.230011,439.690002,451.250000,437.518433,1076000
2022-05-04,453.570007,464.000000,450.269989,462.570007,448.493896,792100
2022-05-05,463.239990,470.230011,457.149994,466.660004,452.459473,1559700
2022-05-06,464.380005,469.459991,457.679993,468.700012,454.437347,925400
2022-05-09,465.959991,466.920013,452.350006,453.980011,440.165314,880700
2022-05-10,452.450012,456.350006,447.140015,449.970001,436.277344,924000
2022-05-11,449.679993,458.369995,445.070007,446.480011,432.893585,805100
2022-05-12,448.119995,450.910004,442.700012,450.779999,437.062683,942000
2022-05-13,451.730011,454.450012,447.339996,452.829987,439.050293,576900
2022-05-16,453.670013,461.320007,452.950012,458.079987,444.140533,586600
2022-05-17,458.579987,462.209991,453.480011,459.279999,445.304077,580900
2022-05-18,459.230011,462.279999,451.260010,454.869995,441.028259,758100
2022-05-19,449.380005,453.390015,439.200012,448.500000,434.852051,758600
2022-05-20,450.179993,450.890015,437.519989,443.329987,429.839386,636900
2022-05-23,446.649994,458.269989,446.299988,456.769989,442.870361,561400
2022-05-24,455.579987,472.440002,455.579987,471.100006,456.764374,794100
2022-05-25,471.140015,474.420013,467.160004,467.619995,453.390198,594300
2022-05-26,470.730011,476.489990,466.630005,467.429993,453.206024,760400
2022-05-27,466.149994,471.049988,462.579987,470.760010,458.130310,646000
2022-05-31,465.970001,468.690002,456.839996,467.970001,455.415131,1762600
2022-06-01,467.779999,471.910004,458.760010,464.250000,451.794922,798600
2022-06-02,466.070007,467.000000,449.690002,462.869995,450.451965,1151400
2022-06-03,462.170013,478.600006,462.170013,478.369995,465.536102,872400
2022-06-06,479.269989,483.940002,477.459991,478.859985,466.012970,586500
2022-06-07,478.799988,492.299988,476.690002,492.059998,478.858795,742900
2022-06-08,487.820007,491.540009,472.059998,472.450012,459.774963,853000
2022-06-09,470.260010,471.250000,462.429993,462.920013,450.500641,843500
2022-06-10,459.350006,465.839996,453.000000,463.820007,451.376495,964400
2022-06-13,459.769989,465.760010,457.559998,460.679993,448.320679,1328000
2022-06-14,459.970001,462.959991,448.540009,454.459991,442.267548,818500
2022-06-15,456.260010,462.649994,447.690002,458.450012,446.150543,874400
2022-06-16,454.649994,458.739990,447.570007,449.019989,436.973511,1055200
2022-06-17,447.000000,451.739990,436.070007,443.929993,432.020050,1368400
2022-06-21,448.640015,464.779999,448.619995,463.769989,451.327789,780500
2022-06-22,454.220001,464.010010,453.010010,458.609985,446.306244,539800
2022-06-23,458.450012,460.649994,449.450012,456.239990,443.999786,614400
